url,domain,path,category,include_in_mvp,discovered_from,discovered_at
https://monzo.com/blog/2017/02/09/customer-support-quotables-short,monzo.com,/blog/2017/02/09/customer-support-quotables-short,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/09/launching-settings-android,monzo.com,/blog/2017/02/09/launching-settings-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/13/5-features-your-mobile-bank-account-should-have-by-now,monzo.com,/blog/2017/02/13/5-features-your-mobile-bank-account-should-have-by-now,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/16/the-richest-man-in-babylon,monzo.com,/blog/2017/02/16/the-richest-man-in-babylon,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/17/four-useful-services-your-bank-should-not-be-charging-for,monzo.com,/blog/2017/02/17/four-useful-services-your-bank-should-not-be-charging-for,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/22/josh-profile,monzo.com,/blog/2017/02/22/josh-profile,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/24/monzome-on-android,monzo.com,/blog/2017/02/24/monzome-on-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/09/diversity-and-inclusion,monzo.com,/blog/2017/03/09/diversity-and-inclusion,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/09/emma-profile,monzo.com,/blog/2017/03/09/emma-profile,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/10/transparent-by-default,monzo.com,/blog/2017/03/10/transparent-by-default,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
